background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,threshold,baseline_feasible,proposed_feasible
32,4,300,32.8,L03,2.0,64.6,0.12003175214943579,0.4003051106025934,0.7693191454578188,0.8746666666666666,0.12,0.4,0.12003175214943579,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,300,32.8,L03,2.0,110.8,0.06998241145174686,0.4003051106025934,0.8511922852087481,0.8746666666666666,0.07,0.4,0.06998241145174686,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,300,32.8,L03,2.0,258.5,0.02999632955069072,0.4003051106025934,0.9302899624504969,0.8746666666666666,0.03,0.4,0.02999632955069072,0.4003051106025934,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,300,36.9,L05,2.0,38.8,0.19984668012509155,0.4503432494279176,0.6926333813529201,0.984,0.2,0.45,0.19984668012509155,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,300,36.9,L05,2.0,64.6,0.12003175214943579,0.4503432494279176,0.7895564289853307,0.984,0.12,0.45,0.12003175214943579,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,300,36.9,L05,2.0,110.8,0.06998241145174686,0.4503432494279176,0.8655026712819922,0.984,0.07,0.45,0.06998241145174686,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,300,36.9,L05,2.0,258.5,0.02999632955069072,0.4503432494279176,0.9375518261175255,0.984,0.03,0.45,0.02999632955069072,0.4503432494279176,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,300,45.1,L05,2.0,38.8,0.19984668012509155,0.550419527078566,0.7336323051654601,1.2026666666666668,0.2,0.55,0.19984668012509155,0.550419527078566,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,300,45.1,L05,2.0,64.6,0.12003175214943579,0.550419527078566,0.8209687178348775,1.2026666666666668,0.12,0.55,0.12003175214943579,0.550419527078566,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,300,45.1,L05,2.0,110.8,0.06998241145174686,0.550419527078566,0.8871982708217674,1.2026666666666668,0.07,0.55,0.06998241145174686,0.550419527078566,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,300,45.1,L05,2.0,258.5,0.02999632955069072,0.550419527078566,0.9483192452306639,1.2026666666666668,0.03,0.55,0.02999632955069072,0.550419527078566,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,0.2,L02,2.0,38.8,0.19984668012509155,0.029290617848970253,0.12782998712102267,0.032,0.2,0.03,0.19984668012509155,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,0.2,L02,2.0,64.6,0.12003175214943579,0.029290617848970253,0.19615693113686128,0.032,0.12,0.03,0.12003175214943579,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,0.2,L02,2.0,110.8,0.06998241145174686,0.029290617848970253,0.2950511136337276,0.032,0.07,0.03,0.06998241145174686,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,0.2,L02,2.0,258.5,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.032,0.03,0.03,0.02999632955069072,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,1.2,L04,2.0,38.8,0.19984668012509155,0.1757437070938215,0.46791321895943305,0.192,0.2,0.18,0.19984668012509155,0.1757437070938215,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,1.2,L04,2.0,64.6,0.12003175214943579,0.1757437070938215,0.5941794750093955,0.192,0.12,0.18,0.12003175214943579,0.1757437070938215,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,1.2,L04,2.0,110.8,0.06998241145174686,0.1757437070938215,0.7152015753719356,0.192,0.07,0.18,0.06998241145174686,0.1757437070938215,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,1.2,L04,2.0,258.5,0.02999632955069072,0.1757437070938215,0.8542027597549238,0.192,0.03,0.18,0.02999632955069072,0.1757437070938215,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,2.0,L02,2.0,38.8,0.19984668012509155,0.2929061784897025,0.5944281669174035,0.32,0.2,0.3,0.19984668012509155,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,2.0,L02,2.0,64.6,0.12003175214943579,0.2929061784897025,0.7093225319271285,0.32,0.12,0.3,0.12003175214943579,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,2.0,L02,2.0,110.8,0.06998241145174686,0.2929061784897025,0.8071517997767904,0.32,0.07,0.3,0.06998241145174686,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,2.0,L02,2.0,258.5,0.02999632955069072,0.2929061784897025,0.9071040676248376,0.32,0.03,0.3,0.02999632955069072,0.2929061784897025,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,2.7,L04,2.0,38.8,0.19984668012509155,0.39542334096109844,0.6642755841115079,0.43200000000000005,0.2,0.4,0.19984668012509155,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,2.7,L04,2.0,64.6,0.12003175214943579,0.39542334096109844,0.7671344143190062,0.43200000000000005,0.12,0.4,0.12003175214943579,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,2.7,L04,2.0,110.8,0.06998241145174686,0.39542334096109844,0.8496313999366559,0.43200000000000005,0.07,0.4,0.06998241145174686,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,2.7,L04,2.0,258.5,0.02999632955069072,0.39542334096109844,0.9294900268372536,0.43200000000000005,0.03,0.4,0.02999632955069072,0.39542334096109844,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,3.1,L06,2.0,38.8,0.19984668012509155,0.45400457665903887,0.6943545216873827,0.496,0.2,0.45,0.19984668012509155,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,3.1,L06,2.0,64.6,0.12003175214943579,0.45400457665903887,0.7908986833662857,0.496,0.12,0.45,0.12003175214943579,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,3.1,L06,2.0,110.8,0.06998241145174686,0.45400457665903887,0.8664424631915658,0.496,0.07,0.45,0.06998241145174686,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,3.1,L06,2.0,258.5,0.02999632955069072,0.45400457665903887,0.9380242285379264,0.496,0.03,0.45,0.02999632955069072,0.45400457665903887,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,50,3.8,L06,2.0,38.8,0.19984668012509155,0.5565217391304348,0.7357813004384881,0.608,0.2,0.55,0.19984668012509155,0.5565217391304348,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,3.8,L06,2.0,64.6,0.12003175214943579,0.5565217391304348,0.822583500496959,0.608,0.12,0.55,0.12003175214943579,0.5565217391304348,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,3.8,L06,2.0,110.8,0.06998241145174686,0.5565217391304348,0.8882969707595466,0.608,0.07,0.55,0.06998241145174686,0.5565217391304348,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,50,3.8,L06,2.0,258.5,0.02999632955069072,0.5565217391304348,0.948856938681971,0.608,0.03,0.55,0.02999632955069072,0.5565217391304348,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,8,100,0.4,L02,2.0,38.8,0.19984668012509155,0.029290617848970253,0.12782998712102267,0.032,0.2,0.03,0.19984668012509155,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,100,0.4,L02,2.0,64.6,0.12003175214943579,0.029290617848970253,0.19615693113686128,0.032,0.12,0.03,0.12003175214943579,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,100,0.4,L02,2.0,110.8,0.06998241145174686,0.029290617848970253,0.2950511136337276,0.032,0.07,0.03,0.06998241145174686,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,8,100,0.4,L02,2.0,258.5,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.032,0.03,0.03,0.02999632955069072,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
