background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,repeat_count,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,mean_delta_pdb_satisfaction_rate,std_delta_pdb_satisfaction_rate,ci95_delta_pdb_satisfaction_rate,mean_center_throughput_retention,std_center_throughput_retention,ci95_center_throughput_retention,mean_delta_prb_utilization,mean_delta_center_prb_share,mean_delta_edge_prb_share
48,10,100,300,10,0.0,0.0,0.0,0.0,0.0,0.574830778021,0.3537305124546083,0.2192444430620036,0.0,-0.05243125763125763,0.052431257631257645
48,10,300,50,10,0.0017991098614925586,0.0017991098614925586,0.0,0.0,0.0,0.469371955045,0.26511070361345745,0.16431731647963793,9.120879120879665e-05,-0.06972223689097046,0.06972223689097046
48,10,300,150,10,0.0,0.0,0.0,0.0,0.0,0.5451505201285001,0.31896277695096514,0.1976951773395521,0.0,-0.0577484126984127,0.05774841269841269
48,10,300,300,10,0.0,0.0,0.0,0.0,0.0,0.49457124281519993,0.30231805138810447,0.18737866955336682,0.0,-0.06371080586080587,0.06371080586080585
48,10,500,50,10,0.0015,0.001,-0.0005,0.0028382310609877336,0.0017591538369972713,0.5020783153805,0.19001782079570834,0.11777426550828479,1.7704517704553168e-06,-0.07703356911042682,0.07703356911042683
48,10,500,150,10,0.0,0.0,0.0,0.0,0.0,0.6663890491255999,0.271489560209729,0.16827097275915215,3.663003663056941e-07,-0.04762283250643358,0.047622832506433586
48,10,500,300,10,0.0,0.0,0.0,0.0,0.0,0.658541027784,0.26284703661324665,0.16291428113701184,3.663003663056941e-07,-0.0470071414991288,0.0470071414991288
48,16,100,50,10,0.0,0.0,0.0,0.0,0.0,0.7269977305602999,0.22173434482341473,0.13743237076492265,0.0,-0.010082417582417583,0.010082417582417569
48,16,100,150,10,0.0,0.0,0.0,0.0,0.0,0.1708020136929,0.013548720736301525,0.008397584114020211,0.0,-0.03005805860805861,0.030058058608058637
48,16,100,300,10,0.0,0.0,0.0,0.0,0.0,0.1716611586081,0.012586101872044817,0.007800946760599865,0.0,-0.02980818070818071,0.029808180708180698
48,16,300,50,10,0.0011236047071070954,0.0011236047071070954,0.0,0.0,0.0,0.8494695859898,0.07853445250799637,0.04867615796503992,1.9536019536081637e-06,-0.008671352538946778,0.008671352538946764
48,16,300,150,10,0.0,0.0,0.0,0.0,0.0,0.6377896194091,0.19635618788661482,0.12170282613237472,1.8315018315062658e-06,-0.0188405713498087,0.01884057134980871
48,16,300,300,10,0.0,0.0,0.0,0.0,0.0,0.4942689679527,0.1773105222261505,0.10989820025631473,1.8315018315062658e-06,-0.02680925266849002,0.02680925266848999
48,16,500,50,10,0.00125,0.0003125,-0.0009375000000000002,0.002109214242845478,0.0013073045318092067,0.838355596911,0.20094660080956447,0.12454799353886432,2.1978021978008576e-06,-0.012252851026738227,0.012252851026738221
48,16,500,150,10,0.0,0.0,0.0,0.0,0.0,0.8073453557454,0.1467626827869515,0.09096445321221679,8.852258852265481e-06,-0.013940280517332726,0.013940280517332726
48,16,500,300,10,0.0,0.0,0.0,0.0,0.0,0.7005511918673,0.13570751782431065,0.08411239097881305,3.907203907205225e-06,-0.02195779519354907,0.021957795193549068
